ZIP_CODE,2020-04-03,2020-04-04,2020-04-05,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22
11239,43,9,20,15,7,20,22,9,20,11,14,18,16,15,13,2,3,12,3,10,13,8,465,-451,5,5,7,5,4,7,3,1,2,6,2,0,4,8,2,1,7,4,1,3,4,0,2,2,1,0,1,0,3,1,3,2,3,4,1,5,2,0,1,2,1,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,2,1,1,1,2,1,1,1,0,0,1,0,0,0,0,3,3,3,1,4,1,1,0,0,0,0,-1,1,-1,1,0,0,2,0,1,0,0,0,1,1,1,1,4,3,0,1,0,1,2,0,1,1,0,0,0,0,0,0
11354,71,27,25,40,27,42,46,10,39,22,20,14,39,43,55,21,17,22,19,33,36,36,937,-911,9,12,21,6,9,11,13,6,15,7,4,6,10,5,2,50,26,17,9,5,3,4,6,2,5,1,2,1,2,4,4,5,2,4,-2,4,2,5,6,7,11,5,1,2,1,3,7,0,5,0,3,6,4,3,8,1,2,1,1,13,5,3,5,2,6,9,3,2,2,0,2,4,7,1,6,2,4,3,4,5,1,1,0,4,3,3,9,2,-1,2,1,4,2,1,5,1,0,1,3,1,6,5,2,2,1,4,3,2,1,1,1,0,3,0,7,5
11355,95,25,32,47,14,49,52,11,49,24,28,18,26,34,39,21,22,23,12,32,49,20,1094,-1064,20,15,13,18,11,14,13,15,13,1,7,11,14,10,3,2,6,14,7,6,12,9,9,3,5,4,2,1,2,10,4,0,6,6,0,2,3,0,6,6,5,3,4,3,3,6,9,1,2,2,4,17,3,2,9,2,3,3,4,7,4,12,7,3,10,12,11,9,2,5,10,3,6,0,3,6,1,7,5,1,11,4,0,8,0,4,2,7,3,1,7,2,3,-1,2,0,1,2,2,2,3,-1,4,1,1,4,1,5,1,0,1,3,3,2,3,1
11356,41,9,17,28,4,22,24,2,28,11,17,10,15,6,7,7,6,12,5,17,15,12,539,-515,4,3,8,3,7,5,-1,4,6,1,2,2,6,6,0,0,3,9,3,2,5,2,3,0,0,1,2,4,1,0,2,0,0,2,2,1,2,1,1,1,0,1,0,7,1,3,2,1,0,1,1,0,0,0,1,0,2,2,1,2,0,2,3,1,3,2,1,0,0,1,1,2,0,1,2,1,0,1,0,0,3,1,2,0,0,1,-1,2,0,2,0,0,2,0,0,1,1,6,1,4,1,1,3,2,2,2,2,0,1,1,1,1,0,0,0,-1
11357,68,10,20,63,13,37,27,8,33,11,25,7,26,14,15,21,10,10,5,18,17,22,909,-898,8,6,4,11,15,6,4,3,7,6,1,6,7,17,2,3,1,6,3,6,5,1,2,0,0,0,1,0,1,1,5,6,0,1,3,3,0,4,2,0,0,1,0,1,1,1,0,0,1,0,3,1,1,1,3,0,4,1,0,1,5,1,3,2,1,0,2,4,0,2,0,0,1,2,3,0,4,4,2,1,4,0,1,1,1,0,0,3,0,0,2,1,0,0,1,0,4,1,1,0,3,2,3,1,0,3,2,1,1,0,2,0,1,3,3,3
11358,39,5,9,33,6,35,13,6,24,12,18,5,19,18,7,9,6,12,2,17,21,10,657,-643,8,6,4,6,6,6,1,4,2,4,2,0,3,2,1,0,3,8,1,4,0,3,2,3,1,1,3,6,0,2,4,1,0,5,0,0,1,1,0,1,2,0,3,0,0,3,1,3,1,2,1,1,0,0,5,0,2,1,0,1,0,5,1,1,2,1,2,1,0,0,2,2,0,0,2,0,2,4,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,2,1,0,2,0,1,0,1,0,0,1,0
11360,27,8,3,21,5,15,9,6,20,4,7,6,8,2,6,3,3,3,5,14,13,13,447,-438,1,4,2,2,0,6,3,1,0,0,1,1,0,1,2,1,0,2,2,0,0,0,2,0,0,1,1,0,2,0,1,3,0,1,0,1,0,1,0,3,2,0,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
11361,33,12,15,33,7,22,17,5,24,5,7,6,13,14,4,3,3,9,4,19,6,6,531,-520,4,3,7,3,5,3,2,4,3,1,0,4,1,3,4,2,2,6,4,3,0,1,3,0,2,0,1,3,0,2,0,1,2,1,1,0,0,1,5,1,1,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,3,1,2,1,0,1,0,0,0,1,1,0,1,1,2,1,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,-1,0,2,0,0,2,0,1,0,1,0,2,0,2
11362,24,0,3,33,3,14,7,10,9,6,10,3,4,7,2,3,2,16,2,9,9,8,430,-421,4,2,3,4,3,0,1,1,3,2,1,3,3,0,2,2,1,1,1,0,-1,0,0,2,0,1,1,1,0,1,4,0,1,0,2,1,0,1,1,1,2,0,1,0,7,4,2,0,0,0,-1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,1,-2,1,2,0,0,0,0,0,0,1,0,1,1,0
11363,6,5,4,10,3,8,2,0,3,1,0,3,1,0,2,1,0,0,1,1,4,2,161,-159,0,0,1,2,0,0,0,1,1,1,1,0,3,0,0,1,-1,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0
